breed,description,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category
Great Dane,"The majestic Great Dane truly lives up to its moniker, the ""Apollo of Dogs."" Standing as tall as 32 inches at the shoulder, these gentle giants tower over most other breeds. When standing on their hind legs, they can even be taller than many people, making an impressive and noble sight. Despite their immense power, Danes are the epitome of elegance and balance, moving with a smooth, easy stride often compared to that of born noblemen.

Their short, dense coat comes in a variety of striking colors and patterns. Perhaps the most iconic is the black-and-white patchwork known as ""harlequin,"" though fawns, brindles, blues, and blacks are also common.

Beneath their imposing stature lies a sweet and affectionate nature. Great Danes are renowned for being patient and loving with children, eager to please their human companions, and quick to make friends. However, their formidable presence also makes them alert home guardians. While typically friendly, the sheer sight of these magnificent dogs is often enough to deter unwanted visitors. Those who mistake their gentle disposition for timidity, however, would quickly discover a powerful foe of unwavering courage and spirit.

Living with a Great Dane is a unique joy, but it's also a significant commitment. Their immense size, strength, and caloric needs require dedicated ownership. For the right family, this easygoing giant offers boundless affection and an undeniable presence, embodying both grace and protective loyalty.","Friendly, Patient, Dependable",16,71.12,81.28,49.90,79.38,7,10,Working Group,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive
Great Pyrenees,"Behold the Great Pyrenees, a magnificent breed truly living up to its “majestic” reputation. These immense mountain dogs stand as high as 32 inches at the shoulder and often exceed 100 pounds, embodying immense strength and a gentle grandeur.

Originally bred to brave the harsh, snowy peaks of the Pyrenees mountains, their ancient purpose was to vigilantly protect livestock from formidable predators like wolves. This challenging role shaped them into the powerful, thickly coated guardians we know today.

Despite their formidable size, the Pyrenees are renowned for their serene, almost Zen-like calm. This steadfast nature makes them wonderful companions, yet beneath that placid exterior lies an unwavering protective instinct. Should a genuine threat arise, they can spring into action with surprising grace, speed, and courage, moving decisively to safeguard their flock—whether sheep or family members.

Their distinctive beauty is crowned by a lush, weatherproof double coat, perfectly adapted for extreme climates. This luxurious fur can be pure white, or white adorned with elegant markings of badger, gray, tan, or reddish-brown, adding to their striking appearance.

Today, while some still serve as working guardians, the Great Pyrenees is most often found as a devoted, mellow companion, fiercely protective and vigilant over their beloved home and family. They bring a calm, watchful presence and an abundance of love to those fortunate enough to share their lives with these gentle giants.","Smart, Patient, Calm",66,63.5,81.28,38.56,45.36,10,12,Working Group,0.4,Weekly Brushing,0.6,Seasonal,1,Needs Lots of Activity,0.4,Independent,0.4,Reserved with Strangers
Greater Swiss Mountain Dog,"Greater than what? Standing as high as 28.5 inches and weighing as much as a mid-sized human, the magnificent **Greater Swiss Mountain Dog** might easily be considered ""greater"" than you! These impressive giants, often affectionately called Swissies, embody immense strength coupled with surprising agility. They were historically adept at navigating the challenging slopes of the Swiss Alps, skillfully moving flocks and pulling heavy carts as indispensable herders and drafters.

The Swissy’s striking tricolor coat—a dense combination of black, rust (red), and white—is a hallmark of the breed. A distinctive white blaze often graces their head and muzzle, perfectly framing their famously sweet and intelligent expression. While many big mountain breeds are dubbed ""majestic,"" Swissies practically define the word. Beyond their regal appearance, they are celebrated for their dependable, faithful, and versatile nature, proving themselves as all-around pasture dogs who earned their keep through hard work and unwavering loyalty. The Greater Swiss Mountain Dog is a powerful, beautiful, and devoted companion.","Faithful, Family-Oriented, Dependable",74,59.69,72.39,38.56,63.50,8,11,Working Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive
Greyhound,"The Greyhound stands as a living testament to the principle of ""form follows function."" Every aspect of their anatomy, from the narrow, aerodynamic skull to the resilient, shock-absorbing pads of their feet, is meticulously engineered for blazing speed. Their iconic ""inverted S"" silhouette, defined by a deep chest gracefully curving into a tightly tucked waist, embodies both athletic prowess and exquisite beauty. Renowned as the fastest dog breed, Greyhounds are widely considered the template for other coursing breeds.

For millennia, this graceful hound has captivated artists, poets, and royalty, celebrated across cultures as a symbol of elegance and speed. Despite their incredible athletic ability, Greyhounds are surprisingly gentle, noble, and sweet-tempered companions. They possess a quiet dignity and an independent yet affectionate spirit, often dubbed ""45 mph couch potatoes"" for their love of lounging. Their calm demeanor and minimal grooming needs make them wonderful, adaptable pets for families and individuals alike.","Gentle, Independent, Noble",145,68.58,76.2,27.22,31.75,10,13,Hound Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.4,Independent,0.8,Friendly
Hamiltonstovare,"The Hamiltonstovare is a truly versatile Swedish scent hound, originally bred to master the pursuit of hare and fox. This striking tri-color breed isn't just a keen hunter; it's also a regal presence in the show ring and a devoted family companion. Their adaptability extends to service work, with Hamiltons serving in America since the late 1990s, showcasing their strong bond with their people.

As a hound, their powerful nose dictates their direction, making leashes and secure fencing essential for their safety. What sets them apart from many scent hounds is an exceptionally high prey drive for *both* scent and sight, making them naturals for activities like lure coursing.

In the home, the Hamiltonstovare transforms into a surprisingly low-maintenance and relaxed companion. They are generally lazy indoors and rarely shed, making them a good fit for many households. Their strong food motivation aids in training, allowing them to learn quickly despite a typical hound's independent streak. However, don't expect them to excel in advanced competitive obedience.

The primary challenge for prospective owners in the United States is the breed's extreme rarity, with only one known breeder. Unfortunately, this scarcity also contributes to a quiet rescue issue, with some Hamiltonstovare occasionally appearing in rural shelters across Virginia, North Carolina, West Virginia, Kentucky, South Carolina, and Tennessee.

","Agile, Versatile, Regal",,48.26,60.96,18.14,34.02,14,17,Foundation Stock Service,0.2,Occasional Bath/Brush,0.2,Infrequent,0.8,Energetic,0.6,Agreeable,0.8,Friendly
Hanoverian Scenthound,"Originating in Germany, the Hanoverian Scenthound, or Hannoverscher Schweißhund as it's known natively, is a powerful and dedicated hunter renowned for its exceptional tracking abilities. This medium-large breed embodies a perfect blend of power and proportion, specifically bred for tireless work in demanding terrains, especially for following cold trails of wounded game.

Physically, the Hanoverian is built for endurance. Its well-muscled fore and hind limbs, combined with a deep, broad chest, provide the stamina and lung capacity necessary for long, arduous chases. A hallmark of its serious yet intelligent nature is its expression, characterized by a slightly wrinkled forehead and clear, dark eyes. Distinctively, the breed's coat boasts a primary red hue, ranging from a pale fawn to a deep, almost black, brindle.

Temperamentally, the Hanoverian Scenthound is a study in contrasts. Calm and assured, it forms an incredibly sensitive and loyal bond with its handler. However, it maintains a reserved and discerning attitude towards strangers. Its remarkable concentration and unwavering dedication to the hunter make it an unparalleled partner in any tracking endeavor, truly a master of the hunt.","Loyal, Independent, Calm",,48.26,53.34,35.83,44.91,10,14,Foundation Stock Service,0.2,Occasional Bath/Brush,0.2,Infrequent,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers
Harrier,"The Harrier, a medium-sized pack hound, embodies the classic look and tireless drive of a working scent hound. Often described as a more substantial version of a Beagle, this breed stands distinct at 19 to 21 inches at the shoulder, significantly more robust than its smaller cousin, yet more compact than its close relative, the English Foxhound – a breed instrumental in the Harrier's development.

First bred in medieval England, the Harrier's primary purpose was to chase hare, a pursuit that forged a swift, prey-driven hound built for remarkable endurance. Their appearance perfectly reflects this working lineage: a short, dense coat, low-set velvety ears framing an endearing and intelligent face, and a powerfully muscular build designed for long days afield. Every line of a Harrier speaks to efficiency, from their strong sinews to their smooth, ground-covering gait.

Beyond their formidable hunting prowess, Harriers are celebrated for their outgoing and friendly nature. While their strong pack instincts and inherent prey drive require appropriate outlets, their sweet disposition makes them delightful companions for active families who understand their need for ample exercise and mental stimulation.","Friendly, Outgoing, People-Oriented",189,48.26,53.34,20.41,27.22,12,15,Hound Group,0.4,Weekly Brushing,0.4,Occasional,1,Needs Lots of Activity,0.8,Easy Training,0.8,Friendly
Havanese,"The Havanese, Cuba's sole native dog breed, is a captivating companion renowned for its distinctive charm and playful spirit. Instantly recognizable by their hallmark curled-over tail and a luxurious, silky coat that comes in a dazzling array of colors, these delightful dogs are enchanting regardless of their 'hairdo' – whether kept long, elegantly corded like a Puli, or clipped short for easier maintenance.

Beneath their beautiful exterior lies a small but sturdy body housing a big personality. Havanese are intelligent, trainable extroverts with the natural comic instincts of a born clown, making them excellent trick dogs always ready to entertain. Their adaptable nature and innate social skills make them an ideal city dog, thriving happily in apartments as long as they are at the heart of family life.

These vivacious and sociable companions possess a characteristic spring in their step and a bright gleam in their big, brown eyes. They are exceptional watchdogs, taking their job seriously by alerting to newcomers, yet typically keep barking to a minimum. Beloved for their cheerful disposition and insatiable desire to command the attention of admirers young and old, the Havanese are fast becoming a favorite among American city dwellers seeking a devoted, entertaining, and highly interactive canine friend.","Intelligent, Outgoing, Funny",24,21.59,29.21,3.18,5.90,14,16,Toy Group,0.6,2-3 Times a Week Brushing,0.4,Occasional,0.6,Regular Exercise,0.8,Easy Training,1,Outgoing
Hokkaido,"The Hokkaido, also known as the Ainu-ken, is a strikingly robust and resilient medium-sized Japanese breed, originating from the northern island of Hokkaido. Distinguishable from other Nihon Ken, they boast a longer, thicker double coat with a dense undercoat for protection against harsh climates, which sheds seasonally. Their sturdy build is complemented by a wider chest and notably smaller ears. This handsome breed comes in a variety of captivating colors, including white, red, black, brindle, sesame, and wolf grey.

Beyond their physical prowess, Hokkaidos are renowned for their exceptional intelligence and problem-solving abilities, excelling at various tasks. With early training and consistent socialization, they blossom into incredibly loyal and devoted companions, eager to please their human families. However, without proper early exposure, they can become reserved or wary of strangers and intensely protective of their loved ones.

Reflecting their heritage, the Hokkaido possesses remarkable endurance, dignity, and a bold, alert temperament. They are known for their faithful and discerning nature, coupled with impressive stamina. This magnificent breed remains exceptionally rare outside of Japan, where its estimated population is between 10,000-12,000 individuals, with yearly registrations around 900-1000. Owning a Hokkaido is a commitment to a deeply intelligent, dedicated, and unique canine partner.","Dignified, Alert, Devoted",,45.72,50.8,19.96,29.94,12,15,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,,,,
Hovawart,"The Hovawart is a magnificent, large, heavy-boned dog originally bred in Germany as an intelligent guardian of livestock and the home. Distinctive in appearance, they come in three striking colors: blonde, black, and black and tan.

Known for their versatile working capabilities and keen nose, Hovawarts are intelligent, alert, and self-confident. Their temperament is generally even-dispositioned, kind, and stress-resistant, coupled with a strong protective instinct. They are faithful, trustworthy, and possess a fun-loving spirit, though they can also exhibit a stubborn streak.

A Hovawart thrives when given a ""job"" to do, utilizing their innate creativity and high intelligence. Without appropriate mental and physical stimulation, they will devise their own entertainment, which might not always align with your plans! Reaching full maturity around two years of age, their training requires consistent effort.

Today, Hovawarts excel in various roles, including search and rescue, therapy work, obedience, agility, flyball, and service dog training. They are outstanding companions, watchdogs, guard dogs, and tracking dogs.

These dogs form exceptionally strong bonds with their ""pack"" and must be fully integrated into family life. They demand significant time and attention from their owners, making them unsuitable for first-time dog owners. However, for those willing to invest the effort in consistent training and socialization, the reward is a deeply loyal and dedicated family member.
","Alert, Faithful, Intelligent",,58.42,71.12,29.48,40.82,10,14,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.6,Regular Exercise,0.2,May be Stubborn,0.4,Reserved with Strangers
Ibizan Hound,"The elegant Ibizan Hound, a striking sighthound, carries the aura of ancient civilization. Its distinctive elongated head and large, erect ears often evoke images from ancient Egyptian art, speaking to its probable origins thousands of years ago. A lithe and leggy breed, the Ibizan stands an impressive 22.5 to 27.5 inches at the shoulder, boasting a racy, athletic build perfectly adapted for speed and agility.

Coat colors range from solid red or white to various red and white patterns. A hallmark of the breed is its unique rosy-colored pigmentation on the nose, eye rims, and lips, beautifully complemented by expressive amber or caramel eyes. The breed’s quiet grace is often described as deer-like in its fluid movements.

Originally bred as a swift and agile rabbit courser on Spain's rocky Balearic Islands, the Ibizan Hound is a true athlete. World-class sprinters and impressive leapers, these dogs need ample space and opportunity to ""air out their engines."" Despite their power and need for vigorous exercise, Ibizans are known for their gentle and affectionate nature, making them devoted companions indoors.","Family-Oriented, Even-Tempered, Polite",152,57.15,69.85,20.41,22.68,11,14,Hound Group,0.2,Occasional Bath/Brush,0.4,Occasional,1,Needs Lots of Activity,0.4,Independent,0.4,Reserved with Strangers
Icelandic Sheepdog,"The Icelandic Sheepdog, Iceland's only native dog breed, is a charmingly friendly and faithful companion, renowned for their enthusiastic devotion to their humans. Historically, they served as invaluable all-around herders, possessing an intelligent and eager-to-please nature that made them adept at managing livestock in challenging terrain.

A classic Nordic spitz-type breed, Icelandic Sheepdogs are easily recognizable by their distinctive appearance. They are a densely coated dog, standing no higher than 18 inches at the shoulder—just under what's considered medium-sized. Their ""spitziness"" is further expressed by a foxy face, pointed ears, and a characteristically bushy tail that curls over their back. They come in several predominant colors, always beautifully accented by crisp white markings.

Perhaps their most endearing quality is their perpetually happy and friendly facial expression. They truly look as though there's no place they'd rather be than right by your side, embodying loyalty, joy, and an unbreakable bond with their family.","Friendly, Playful, Inquisitive",155,41.91,45.72,11.34,13.61,12,14,Herding Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,1,Eager to Please,0.8,Friendly
Irish Red and White Setter,"The Irish Red and White Setter is a captivating sight, especially for sportsmen witnessing their legendary 'frozen on point' stance—a statuesque picture of unwavering focus in the field. These athletic, medium-to-large bird dogs are built for performance. Powerful, solid, and sinewy, they possess an abundance of stamina and an innate bird sense, making them incredibly effective in the field, ready to work tirelessly any day of the week.

Their stunning coat is not just beautiful but highly functional: vivid red 'islands' seem to float on a shimmering sea of pearl white. This distinctive pattern allows hunters to easily spot their dog, even from a distance, amidst varying terrain. Beyond their working prowess, the Irish Red and White Setter boasts a handsome face that reflects a keen yet kindly expression. True to their 'rollicking' nature, they are famously fun-loving, friendly, and high-spirited companions. While sharing roots with their more famous cousin, the Irish Setter, Red and Whites are typically a bit shorter and stockier, possessing a robust build that perfectly complements their energetic disposition.","Courageous, Spirited, Determined",146,57.15,66.04,15.88,27.22,11,15,Sporting Group,0.4,Weekly Brushing,,,1,Needs Lots of Activity,0.8,Easy Training,0.8,Friendly
Irish Setter,"The Irish Setter is often hailed as one of the most beautiful dog breeds, instantly captivating with its flowing coat of brilliant mahogany or chestnut. Standing over two feet at the shoulder, this substantial yet elegant gundog possesses long, sinewy legs and powerful rear drive, placing them among the swiftest of all sporting dogs. In the field, their high-spirited nature and ""devil-may-care"" approach make them bold, graceful, and highly effective hunting partners.

For over 200 years, the Irish Setter's lovable personality has endeared them to sportsmen and pet owners alike. These outgoing ""redheads"" are natural-born friends, always eager to meet new people and soak up attention. While famously rambunctious and energetic ""big kids"" at heart, they are also remarkably eager to please, responding beautifully to patient, positive training.

Irish Setters are famously good family dogs. They are sweet-tempered companions for adults and endlessly enthusiastic playmates for children, always ready for a game of fetch or a romp in the yard. Their unique blend of stunning beauty, athletic prowess, and a famously amiable, playful disposition makes the Irish Setter a truly captivating and beloved breed for those who appreciate an active, devoted canine companion.","Active, Outgoing, Sweet-Natured",77,63.5,68.58,27.22,31.75,12,15,Sporting Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,1,Needs Lots of Activity,0.6,Agreeable,1,Outgoing
Irish Terrier,"The Irish Terrier, often hailed as the ""Daredevil"" of the Emerald Isle, is the quintessential long-legged terrier. Standing approximately 18 inches at the shoulder, they possess an athletic build that is both sturdy and remarkably lithe, conveying an impression of elegant power. Every clean line of their body contributes to an eye-catching and beautifully balanced silhouette.

Their hallmark is a tight, wiry coat of brilliant fiery red, a color that perfectly mirrors their spirited and courageous temperament. Known for being bold, dashing, and tenacious, the Irish Terrier lives up to its daredevil reputation with an unwavering zest for life. Despite their fiery independence and stouthearted nature in the field or ring, they are tenderhearted and deeply devoted companions at home. This captivating blend of grit and grace, combined with their striking Technicolor appearance, makes the Irish Terrier a true delight and a spirited emblem of their Irish heritage.","Bold, Dashing, Tenderhearted",116,45.72,45.72,11.34,12.25,13,15,Terrier Group,0.2,Occasional Bath/Brush,,,0.6,Regular Exercise,0.6,Agreeable,0.6,Alert/Responsive
Irish Water Spaniel,"The Irish Water Spaniel (IWS) immediately commands attention with its truly unique and unmistakable appearance. A substantial spaniel, typically standing 21 to 24 inches at the shoulder and weighing 55 to 65 pounds, the IWS holds the distinction of being the tallest of the AKC’s spaniel breeds.

What truly defines this breed is its striking, liver-colored coat: a dense, crisply curled covering that is naturally waterproof, perfectly suited for its heritage as a retriever of waterfowl. Complementing this iconic coat are its distinctive tapered ""rat tail"" and a noble, cleanly chiseled head crowned with a signature topknot of long, loose curls.

Built for performance, the IWS is a champion swimmer and moves with an efficient, ground-covering gait, enabling long, demanding days in the field. Beyond their athletic prowess, Irish Water Spaniels possess a captivating personality. They are intelligent, alert, and inquisitive, demonstrating bravery and diligence while working. Yet, at home, they transform into playful, affectionate, and devoted companions, often displaying a charmingly mischievous side. This fascinating duality makes the IWS a truly special member of dogdom.","Playful, Hardworking, Brave",159,53.34,60.96,20.41,30.84,12,13,Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,1,Needs Lots of Activity,0.8,Easy Training,0.4,Reserved with Strangers
Irish Wolfhound,"The majestic Irish Wolfhound stands as a true giant among canines, a formidable yet exceptionally gentle presence that commands attention. As the tallest of all AKC breeds, a male can reach nearly three feet at the shoulder and weigh up to 180 pounds. These immense, muscular hounds are built along classic Greyhound lines, capable of surprising speed at the gallop. Females, while slightly smaller, are equally impressive. Their rough, hard coat comes in a distinguished palette of colors including white, gray, brindle, red, black, and fawn.

Despite their imposing stature, Irish Wolfhounds are celebrated for their calm, dignified, and kindly temperament. Once fearless big-game hunters, revered for their ability to dispatch a wolf in single combat, today's Wolfhounds are the most serene and agreeable of companions. While too amiable to be fierce guard dogs, their sheer presence is often deterrent enough. They are characteristically patient with children, though supervision is wise given their size.

Owning an Irish Wolfhound is a unique and deeply rewarding experience. However, bringing home such a magnificent, galloping hound is a commitment as significant as the dog itself, requiring ample space and a profound understanding of this gentle giant's needs.","Courageous, Dignified, Calm",76,76.2,81.28,47.63,54.43,6,8,Hound Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.6,Alert/Responsive
Italian Greyhound,"## Italian Greyhound

The elegant Italian Greyhound (IG) is a true Greyhound in miniature, capturing all the grace and slender lines of its larger cousin in a compact form. Standing ideally 13 to 15 inches at the shoulder, IGs possess the sleek, curving silhouette characteristic of all coursing hounds, accentuated by their distinctive long, fine-boned legs. They are a picture of delicate elegance.

Beyond their refined appearance, Italian Greyhounds are a captivating blend of dedicated lapdog and spirited sighthound. Bred for centuries as doting companions and playful jesters, these charming, high-stepping canines thrive on attention and will make it known they prefer your lap or bed over the floor. They are incredibly affectionate, alert, and playful, making them wonderful, interactive toy companions.

However, don't let their delicate looks fool you; IGs are true sighthounds with a powerful instinct for pursuit. They will bolt after any quick-moving prey, so a securely fenced yard or leash is essential for their safety. As a short-coated, low-fat breed, Italian Greyhounds require extra care in cold weather, often needing sweaters or coats to stay warm. Ultimately, the IG is a unique dog: a devoted, decorative couch companion by day, and a flash-and-dash athlete at heart.","Playful, Alert, Sensitive",73,33.02,38.1,3.18,6.35,14,15,Toy Group,0.2,Occasional Bath/Brush,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.2,Aloof/Wary
Jagdterrier,"From the heart of Germany emerges the Jagdterrier, a compact powerhouse truly living up to its name, which literally translates to “hunt terrier.” Bred as an unparalleled working dog, this versatile terrier excels in a variety of hunting disciplines, particularly renowned for its prowess both underground and as an efficient flushing dog. He is built for the job: small, sturdy, and perfectly proportioned, embodying durability and agility.

The Jagdterrier’s distinctive dense coat, which can be either hard and rough or coarse and smooth, offers excellent protection in varied terrains. While most commonly seen in striking black and tan, variations of dark brown or grayish-black are also possible. Characteristic tan markings define his intelligent expression, gracing his eyebrows, muzzle, chest, legs, and the base of his tail. Occasionally, a small splash of white may appear on his chest or toes.

Known also as the Deutscher Jagdterrier, this breed possesses a temperament as robust as its physique. Courageous, tenacious, and incredibly vital, the Jagdterrier is packed with an intense working drive. Despite his fiery spirit, he is renowned for being reliable, sociable (with proper socialization), and highly trainable, always approaching his tasks with unwavering enthusiasm. This devoted companion thrives on activity and a purpose, making him a true testament to his hunting heritage.","Courageous, Intelligent, Hardworking",,33.02,40.64,7.71,9.98,10,12,Foundation Stock Service,,,,,,,,,,
Japanese Chin,"The Japanese Chin is an exquisite nobleman among canine breeds, exuding an unmistakable air of ancient aristocracy and Eastern charm. This tiny toy companion is renowned for its distinctive appearance and refined bearing.

Visually captivating, the Chin possesses a relatively large head with a charmingly short muzzle. Their round, dark eyes are particularly striking, often conveying what enthusiasts affectionately describe as a ""look of astonishment."" Adorned with a profuse, silky single coat, their elegance is further enhanced by a luxurious mane framing the neck and shoulders, a dramatically plumed tail arching gracefully over the back, and the feathery ""culottes"" or pants on their hind legs. These features combine to project an exotic and regal presence, befitting a breed once cherished by Asian royalty.

Beyond their stunning looks, Japanese Chins are celebrated for their unique, almost feline temperament. They are graceful, fastidious, and generally quiet, moving with a dainty elegance that belies their playful spirit. Bright, amusing, and utterly devoted, these charming lapdogs thrive as indoor companions, content to offer affectionate cuddles and quiet companionship. The Japanese Chin is a testament to sophisticated charm, offering an intelligent and graceful presence to any home.","Charming, Noble, Loving",104,20.32,27.94,3.18,4.99,10,12,Toy Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers
Japanese Spitz,"The Japanese Spitz is a charming and devoted companion, renowned for their joyful personality and delightful ""comedian"" antics. Truly part of the family, they thrive on interaction and love to entertain their humans. Intelligent and eager to please, they are quick learners, remarkably loyal, and often sport a perpetual, endearing smile. Their adaptable nature makes them ready for any adventure, whether it's a scenic hike, a fun car ride, or a joyful trip to the beach or lake; they simply adore being by their humans' side.

Distinctive features make the Japanese Spitz instantly recognizable. They boast a magnificent, pure white double coat, which often creates a striking, lion-like mane around their neck. Like their Spitz cousins, their lush, plumed tail curls gracefully over their back. Their foxy face is characterized by a pointed muzzle, accentuated by a jet-black nose and dark, expressive eyes framed by equally black rims. Their alert, pointed triangular ears stand erect, constantly swiveling like radar dishes to catch every sound, making this breed exceptionally aware and watchful. Combining their smarts, loyalty, and loving nature, the Japanese Spitz truly makes a wonderful, engaging family member.","Loyal, Playful, Smart",,30.48,38.1,4.54,11.34,12,14,Foundation Stock Service,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,0.8,Easy Training,0.8,Friendly
Jindo,"Hailing from an island off the coast of South Korea, the Jindo is a medium-sized, well-proportioned dog embodying agility, strength, and dignity. Its natural appearance is marked by erect ears and a distinctive rolled or sickle-shaped tail.

Valued as independent hunters and discerning guardians, Jindos are highly intelligent, watchful, and loyal companions. They possess a very strong hunting instinct, demonstrating a bold, brave, and alert nature. While fiercely faithful to their chosen master, they are known to be ""one-man"" dogs, forming deep, unforgettable bonds that can last a lifetime, even if they accept a new owner.

Jindos are meticulous about cleanliness and eat sparingly. Their independent spirit means they can be wary of other animals, particularly those of the same sex. With an excellent sense of direction, this breed is a diligent and discerning companion.

","Alert, Intelligent, Bold",,45.72,55.88,13.61,22.68,14,14,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.4,Reserved with Strangers
Kai Ken,"Hailing from the mountainous regions of Japan, the Kai Ken is one of the six revered native Japanese breeds (Nihon Ken), historically prized for its exceptional hunting prowess. Even in Japan, this medium-sized dog is considered rare.

Intelligent and agile, the Kai Ken is a keen hunter with a strong desire to pursue game. Their remarkable athleticism allows them to excel as climbers and swimmers, famously known to scale trees and navigate rivers in pursuit of prey. While independent thinkers, they are highly intelligent and quick to learn, forming incredibly strong, devoted bonds with their families. The Japanese often describe the Kai Ken as a trustworthy guardian.

Their most striking feature is the distinct brindle coat, which perfectly camouflaged them in their ancient hunting grounds. This unique pattern comes in three colors: Black Brindle (Kuro-Tora), Brindle (Chu-Tora), and the rarest, Red Brindle (Aka-Tora). Fascinatingly, most Kai Ken puppies are born entirely black, with their vibrant brindle emerging and evolving over their first five years of life.

While traditionally a robust outdoor hunter, the Kai Ken adapts well to home life, even apartments, provided they receive regular leashed exercise. They are a naturally clean breed, requiring minimal bathing, but regular brushing is beneficial, especially during their twice-yearly ""coat blowing"" periods.

","Loyal, Agile, Keen",,39.37,49.53,9.07,18.14,12,15,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.4,Reserved with Strangers
Karelian Bear Dog,"The Karelian Bear Dog is a powerful and intelligent medium-sized spitz, instantly recognizable by its dense coat. Bred in Scandinavia for the formidable task of hunting large, aggressive game independently, their robust build and keen senses, especially smell, are perfectly adapted to this demanding work.

These are silent hunters, tracking with remarkable focus. They only break their quiet when game is stopped or treed, using distinct barks to communicate the type of animal to an experienced handler. Known for their immense courage, persistence, and self-confidence, KBDs are highly independent yet can work cooperatively.

While they demonstrate self-control and are never aggressive towards people (though they can be reserved), their fighting spirit and inherent challenge-seeking nature often surface around other dogs, particularly males. This can lead to territoriality and requires knowledgeable handling, early socialization, and a strong leader. Their formidable game drive and strong will make them a serious breed, best suited for experienced owners who can channel their energy and intelligence.

","Loyal, Independent, Courageous",,48.26,59.69,19.96,22.23,11,13,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.4,Calm,,,,
Keeshond,"The charming Keeshond, a medium-sized spitz dog of striking appearance and amiable nature, traces its lineage to the same ancient stock as other Nordic breeds like Pomeranians and Samoyeds. Hailing from Holland, this distinctive companion once served as a fixture on canal barges, earning a special place in Dutch history and hearts.

True to its spitz heritage, the Keeshond possesses a magnificent, abundant coat, alert pointed ears, a foxy face, and a distinctive plumed tail curled proudly over its back. However, what truly sets this breed apart are its ""spectacles""—unique shadings and markings around the eyes that give the charming impression of wearing designer eyewear. These hallmark markings beautifully frame their intelligent, alert expression, drawing attention to their keen and friendly disposition.

Beyond their captivating looks, the Keeshond is celebrated for its warm, outgoing temperament. Once a symbol of Dutch patriotism, the Kees remains a beloved family member, known for being adaptable, playful, and an excellent companion.","Friendly, Lively, Outgoing",95,43.18,45.72,15.88,20.41,12,15,Non-Sporting Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.8,Easy Training,0.8,Friendly
Kerry Blue Terrier,"The Kerry Blue Terrier, a truly distinctive breed named for his Irish county of origin, is instantly recognizable by his magnificent, show-stopping coat. Ranging in shades from a deep slate to a lighter blue-gray, this dense, soft, and wavy coat is not only visually striking but remarkably pleasing to the touch—a hallmark that ensures heads turn wherever a Kerry goes.

Beneath this unique blue mantle lies a muscular, well-developed body, reflecting their history as versatile farm dogs. Standing typically below 20 inches at the shoulder and weighing up to 40 pounds, the Kerry Blue is among the larger terriers registered with the AKC. Their robust build is complemented by a distinguished long terrier head, accented by a characteristic sporty beard and intelligent, dark, keen eyes that hint at their alert and animated nature.

More than just a handsome exterior, the Kerry Blue Terrier possesses a lively and spirited temperament. Originally bred for hunting vermin and herding livestock, they have evolved into wonderfully adaptable family companions and vigilant watchdogs. Intelligent, loyal, and full of personality, Kerries thrive on engagement and make devoted additions to active households, always ready to protect their loved ones with their characteristic terrier tenacity and undeniable charm.","Smart, Alert, People-Oriented",129,44.45,49.53,14.97,18.14,12,15,Terrier Group,0.6,2-3 Times a Week Brushing,,,0.6,Regular Exercise,0.2,May be Stubborn,0.6,Alert/Responsive
